dealership,transfer_center,distance
01079,07463,123.0
04412,07463,377.0
06016,07463,102.0
07423,07463,1.0
08504,07463,52.0
08740,07463,75.0
10977,07463,8.0
11769,07463,55.0
13482,07463,129.0
14067,07463,274.0
14530,07463,232.0
15240,07463,311.0
15930,07463,246.0
16863,07463,228.0
16933,07463,162.0
17726,07463,172.0
17944,07463,115.0
18425,07463,55.0
19126,07463,85.0
21918,07463,141.0
22610,07463,267.0
23430,07463,309.0
23850,07463,331.0
24570,07463,1757.0
24934,07463,355.0
25430,07463,1799.0
26764,07463,1776.0
30240,07463,817.0
31093,07463,781.0
31791,07463,849.0
33830,07463,2030.0
33880,07463,999.0
35582,07463,887.0
36304,07463,924.0
36525,07463,1042.0
37202,07463,756.0
37669,07463,549.0
37869,07463,581.0
37874,07463,2069.0
37916,07463,2052.0
39215,07463,1072.0
41528,07463,491.0
41832,07463,543.0
41855,07463,534.0
43053,07463,1974.0
43151,07463,500.0
43553,07463,2029.0
43652,07463,485.0
45688,07463,472.0
46405,07463,682.0
47683,07463,729.0
50528,07463,1053.0
52240,07463,901.0
53066,07463,750.0
53267,07463,720.0
55315,07463,1021.0
55428,07463,1009.0
56459,07463,1070.0
56554,07463,1159.0
56725,07463,1165.0
57270,07463,1206.0
57772,07463,1447.0
57773,07463,1508.0
58566,07463,1382.0
58620,07463,1493.0
60421,07463,725.0
60952,07463,2303.0
61616,07463,2192.0
61756,07463,2223.0
61845,07463,2224.0
62444,07463,780.0
63530,07463,966.0
63640,07463,896.0
64735,07463,1058.0
65230,07463,987.0
65898,07463,1058.0
66781,07463,1131.0
67204,07463,1257.0
67418,07463,1268.0
67860,07463,1883.0
69135,07463,1347.0
71315,07463,1224.0
71984,07463,2213.0
72183,07463,1079.0
72955,07463,1160.0
75034,07463,1359.0
76047,07463,2083.0
76327,07463,2023.0
77046,07463,1425.0
77250,07463,1688.0
77533,07463,1575.0
78430,07463,2031.0
79538,07463,1543.0
79903,07463,1894.0
79937,07463,1982.0
79942,07463,1890.0
81023,07463,1647.0
81057,07463,1539.0
81126,07463,1688.0
82054,07463,1564.0
82217,07463,1555.0
82922,07463,1848.0
84340,07463,1955.0
84636,07463,2125.0
84656,07463,2147.0
87059,07463,1789.0
88527,07463,1890.0
88533,07463,1890.0
89180,07463,2219.0
90590,07463,2058.0
90711,07463,2449.0
91521,07463,2438.0
91523,07463,2438.0
91776,07463,2429.0
91946,07463,2414.0
92033,07463,2405.0
93203,07463,2437.0
95009,07463,2543.0
95054,07463,2541.0
95664,07463,2460.0
97028,07463,2383.0
97403,07463,2464.0
98498,07463,2401.0
99013,07463,2072.0
99070,07463,2077.0
B2G,07463,687.0
B2R,07463,594.0
E3Z,07463,517.0
E4E,07463,541.0
E5V,07463,454.0
G0P,07463,366.0
G0Z,07463,370.0
G2G,07463,421.0
H2V,07463,312.0
H9B,07463,310.0
J1Z,07463,350.0
J8B,07463,341.0
J9Y,07463,550.0
K1A,07463,315.0
L4M,07463,366.0
L5C,07463,333.0
L6M,07463,334.0
L8L,07463,332.0
M1J,07463,322.0
M1N,07463,321.0
M5G,07463,325.0
N1R,07463,352.0
N2M,07463,367.0
N6A,07463,391.0
P6C,07463,637.0
R4K,07463,1285.0
T3C,07463,2012.0
T3R,07463,2017.0
V0C,07463,2517.0
V3L,07463,2401.0
V3W,07463,2399.0
V7P,07463,2410.0
V8W,07463,2427.0
V8Z,07463,2428.0
V9G,07463,2444.0
01079,08558,174.0
04412,08558,427.0
06016,08558,152.0
07423,08558,51.0
08504,08558,1.0
08740,08558,45.0
10977,08558,59.0
11769,08558,85.0
13482,08558,160.0
14067,08558,278.0
14530,08558,234.0
15240,08558,280.0
15930,08558,212.0
16863,08558,202.0
16933,08558,157.0
17726,08558,151.0
17944,08558,85.0
18425,08558,72.0
19126,08558,34.0
21918,08558,93.0
22610,08558,220.0
23430,08558,259.0
23850,08558,280.0
24570,08558,1706.0
24934,08558,310.0
25430,08558,1756.0
26764,08558,1732.0
30240,08558,768.0
31093,08558,731.0
31791,08558,798.0
33830,08558,1989.0
33880,08558,948.0
35582,08558,842.0
36304,08558,874.0
36525,08558,994.0
37202,08558,714.0
37669,08558,502.0
37869,08558,535.0
37874,08558,2022.0
37916,08558,2005.0
39215,08558,1026.0
41528,08558,446.0
41832,08558,499.0
41855,08558,489.0
43053,08558,1925.0
43151,08558,467.0
43553,08558,1981.0
43652,08558,464.0
45688,08558,433.0
46405,08558,660.0
47683,08558,693.0
50528,08558,1036.0
52240,08558,879.0
53066,08558,734.0
53267,08558,704.0
55315,08558,1008.0
55428,08558,998.0
56459,08558,1063.0
56554,08558,1152.0
56725,08558,1162.0
57270,08558,1196.0
57772,08558,1430.0
57773,08558,1492.0
58566,08558,1373.0
58620,08558,1484.0
60421,08558,702.0
60952,08558,2254.0
61616,08558,2145.0
61756,08558,2175.0
61845,08558,2176.0
62444,08558,748.0
63530,08558,938.0
63640,08558,861.0
64735,08558,1027.0
65230,08558,957.0
65898,08558,1024.0
66781,08558,1097.0
67204,08558,1226.0
67418,08558,1240.0
67860,08558,1837.0
69135,08558,1327.0
71315,08558,1178.0
71984,08558,2163.0
72183,08558,1038.0
72955,08558,1123.0
75034,08558,1319.0
76047,08558,2035.0
76327,08558,1975.0
77046,08558,1380.0
77250,08558,1637.0
77533,08558,1525.0
78430,08558,1984.0
79538,08558,1504.0
79903,08558,1858.0
79937,08558,1934.0
79942,08558,1854.0
81023,08558,1620.0
81057,08558,1511.0
81126,08558,1659.0
82054,08558,1542.0
82217,08558,1535.0
82922,08558,1831.0
84340,08558,1936.0
84636,08558,2090.0
84656,08558,2111.0
87059,08558,1757.0
88527,08558,1854.0
88533,08558,1854.0
89180,08558,2193.0
90590,08558,2008.0
90711,08558,2421.0
91521,08558,2411.0
91523,08558,2411.0
91776,08558,2402.0
91946,08558,2384.0
92033,08558,2376.0
93203,08558,2411.0
95009,08558,2522.0
95054,08558,2520.0
95664,08558,2440.0
97028,08558,2372.0
97403,08558,2452.0
98498,08558,2393.0
99013,08558,2027.0
99070,08558,2032.0
B2G,08558,734.0
B2R,08558,640.0
E3Z,08558,568.0
E4E,08558,590.0
E5V,08558,503.0
G0P,08558,414.0
G0Z,08558,418.0
G2G,08558,470.0
H2V,08558,357.0
H9B,08558,353.0
J1Z,08558,398.0
J8B,08558,383.0
J9Y,08558,577.0
K1A,08558,349.0
L4M,08558,374.0
L5C,08558,335.0
L6M,08558,334.0
L8L,08558,330.0
M1J,08558,327.0
M1N,08558,326.0
M5G,08558,329.0
N1R,08558,350.0
N2M,08558,364.0
N6A,08558,382.0
P6C,08558,643.0
R4K,08558,1286.0
T3C,08558,2010.0
T3R,08558,2016.0
V0C,08558,2527.0
V3L,08558,2396.0
V3W,08558,2395.0
V7P,08558,2405.0
V8W,08558,2422.0
V8Z,08558,2423.0
V9G,08558,2439.0
01079,08732,182.0
04412,08732,433.0
06016,08732,159.0
07423,08732,73.0
08504,08732,43.0
08740,08732,1.0
10977,08732,81.0
11769,08732,77.0
13482,08732,198.0
14067,08732,321.0
14530,08732,277.0
15240,08732,312.0
15930,08732,243.0
16863,08732,238.0
16933,08732,200.0
17726,08732,191.0
17944,08732,123.0
18425,08732,113.0
19126,08732,53.0
21918,08732,108.0
22610,08732,234.0
23430,08732,245.0
23850,08732,274.0
24570,08732,1698.0
24934,08732,325.0
25430,08732,1771.0
26764,08732,1748.0
30240,08732,772.0
31093,08732,730.0
31791,08732,795.0
33830,08732,2007.0
33880,08732,933.0
35582,08732,856.0
36304,08732,874.0
36525,08732,998.0
37202,08732,732.0
37669,08732,513.0
37869,08732,547.0
37874,08732,2029.0
37916,08732,2012.0
39215,08732,1037.0
41528,08732,461.0
41832,08732,513.0
41855,08732,504.0
43053,08732,1929.0
43151,08732,495.0
43553,08732,1984.0
43652,08732,500.0
45688,08732,455.0
46405,08732,695.0
47683,08732,718.0
50528,08732,1073.0
52240,08732,914.0
53066,08732,772.0
53267,08732,743.0
55315,08732,1048.0
55428,08732,1039.0
56459,08732,1105.0
56554,08732,1194.0
56725,08732,1205.0
57270,08732,1236.0
57772,08732,1467.0
57773,08732,1530.0
58566,08732,1414.0
58620,08732,1524.0
60421,08732,737.0
60952,08732,2260.0
61616,08732,2151.0
61756,08732,2181.0
61845,08732,2181.0
62444,08732,777.0
63530,08732,969.0
63640,08732,886.0
64735,08732,1055.0
65230,08732,988.0
65898,08732,1049.0
66781,08732,1124.0
67204,08732,1255.0
67418,08732,1272.0
67860,08732,1848.0
69135,08732,1364.0
71315,08732,1189.0
71984,08732,2161.0
72183,08732,1056.0
72955,08732,1146.0
75034,08732,1339.0
76047,08732,2041.0
76327,08732,1980.0
77046,08732,1393.0
77250,08732,1626.0
77533,08732,1513.0
78430,08732,1992.0
79538,08732,1524.0
79903,08732,1882.0
79937,08732,1939.0
79942,08732,1878.0
81023,08732,1652.0
81057,08732,1542.0
81126,08732,1690.0
82054,08732,1577.0
82217,08732,1571.0
82922,08732,1869.0
84340,08732,1972.0
84636,08732,2115.0
84656,08732,2136.0
87059,08732,1785.0
88527,08732,1878.0
88533,08732,1878.0
89180,08732,2225.0
90590,08732,2010.0
90711,08732,2452.0
91521,08732,2442.0
91523,08732,2442.0
91776,08732,2433.0
91946,08732,2414.0
92033,08732,2406.0
93203,08732,2443.0
95009,08732,2556.0
95054,08732,2555.0
95664,08732,2476.0
97028,08732,2412.0
97403,08732,2491.0
98498,08732,2434.0
99013,08732,2038.0
99070,08732,2043.0
B2G,08732,729.0
B2R,08732,634.0
E3Z,08732,579.0
E4E,08732,592.0
E5V,08732,505.0
G0P,08732,437.0
G0Z,08732,442.0
G2G,08732,492.0
H2V,08732,386.0
H9B,08732,384.0
J1Z,08732,423.0
J8B,08732,415.0
J9Y,08732,618.0
K1A,08732,387.0
L4M,08732,418.0
L5C,08732,378.0
L6M,08732,377.0
L8L,08732,373.0
M1J,08732,371.0
M1N,08732,370.0
M5G,08732,372.0
N1R,08732,393.0
N2M,08732,407.0
N6A,08732,424.0
P6C,08732,686.0
R4K,08732,1329.0
T3C,08732,2053.0
T3R,08732,2058.0
V0C,08732,2570.0
V3L,08732,2438.0
V3W,08732,2436.0
V7P,08732,2447.0
V8W,08732,2463.0
V8Z,08732,2464.0
V9G,08732,2480.0
01079,10952,117.0
04412,10952,370.0
06016,10952,96.0
07423,10952,8.0
08504,10952,59.0
08740,10952,82.0
10977,10952,1.0
11769,10952,56.0
13482,10952,124.0
14067,10952,272.0
14530,10952,231.0
15240,10952,315.0
15930,10952,250.0
16863,10952,231.0
16933,10952,162.0
17726,10952,175.0
17944,10952,119.0
18425,10952,54.0
19126,10952,92.0
21918,10952,148.0
22610,10952,273.0
23430,10952,317.0
23850,10952,338.0
24570,10952,1765.0
24934,10952,361.0
25430,10952,1805.0
26764,10952,1781.0
30240,10952,824.0
31093,10952,788.0
31791,10952,856.0
33830,10952,2035.0
33880,10952,1006.0
35582,10952,893.0
36304,10952,931.0
36525,10952,1049.0
37202,10952,762.0
37669,10952,555.0
37869,10952,587.0
37874,10952,2075.0
37916,10952,2058.0
39215,10952,1078.0
41528,10952,496.0
41832,10952,549.0
41855,10952,539.0
43053,10952,1980.0
43151,10952,503.0
43553,10952,2036.0
43652,10952,487.0
45688,10952,477.0
46405,10952,684.0
47683,10952,733.0
50528,10952,1054.0
52240,10952,903.0
53066,10952,750.0
53267,10952,721.0
55315,10952,1020.0
55428,10952,1009.0
56459,10952,1069.0
56554,10952,1158.0
56725,10952,1164.0
57270,10952,1205.0
57772,10952,1447.0
57773,10952,1509.0
58566,10952,1381.0
58620,10952,1493.0
60421,10952,727.0
60952,10952,2309.0
61616,10952,2199.0
61756,10952,2229.0
61845,10952,2230.0
62444,10952,783.0
63530,10952,968.0
63640,10952,900.0
64735,10952,1061.0
65230,10952,990.0
